home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Seahawks,Packers,36,16,9/4/2014,2014,1,-4.5,0,25,37,207,2,19,28,191,2,0,1,0,191,398,2,1,1,4,69,4,11,1,1,2000,255,1,1,0,1,3,14,0,19,21,80,1,23,33,189,1,1,3,14,175,255,1,0,1,8,65,6,12,0,1,1600,398,0,2,1,1,1,0
Jets,Raiders,19,14,9/7/2014,2014,1,-6.5,0,20,34,212,1,23,29,221,1,1,2,31,190,402,2,1,2,11,105,5,12,0,0,2090,158,0,1,0,0,2,18,0,11,15,25,0,20,32,151,2,0,2,18,133,158,1,0,0,4,20,3,12,0,0,1510,402,1,2,1,2,2,31
Bears,Bills,20,23,9/7/2014,2014,1,-7,0,29,18,86,0,34,49,349,2,2,2,8,341,427,1,1,3,4,43,5,12,0,0,2082,360,1,1,0,1,1,6,0,15,33,193,1,16,22,173,1,1,1,6,167,360,1,0,1,9,108,4,12,0,0,1832,427,2,1,1,3,2,8
Ravens,Bengals,16,23,9/7/2014,2014,1,-1,0,26,20,94,1,35,62,345,1,1,3,16,329,423,2,1,2,3,29,8,17,1,2,1770,380,0,0,0,0,0,0,0,16,26,79,0,25,38,301,1,0,0,0,301,380,0,0,0,4,45,4,14,0,0,1830,423,1,2,1,2,3,16
Eagles,Jaguars,34,17,9/7/2014,2014,1,-10,0,24,32,145,1,27,45,322,2,1,5,47,275,420,3,2,3,6,50,8,19,1,1,1846,306,0,1,1,1,3,24,0,18,24,64,0,24,43,266,2,0,3,24,242,306,1,1,1,7,55,2,14,0,1,1754,420,1,3,2,3,5,47
Rams,Vikings,6,34,9/7/2014,2014,1,-2.5,0,15,22,72,0,24,36,273,0,2,5,27,246,318,4,0,2,13,121,4,14,0,0,1903,355,0,2,0,0,0,0,0,18,32,185,1,17,25,170,2,0,0,0,170,355,2,0,0,7,60,3,12,0,0,1697,318,2,4,0,2,5,27
Buccaneers,Panthers,14,20,9/7/2014,2014,1,-4.5,0,17,17,102,0,22,35,183,2,2,3,21,162,264,3,1,3,3,15,6,12,0,0,1488,334,0,1,0,0,1,9,0,19,33,113,0,24,34,230,2,0,1,9,221,334,1,0,0,6,55,6,15,1,1,2112,264,2,3,1,3,3,21
Cowboys,49ers,17,28,9/7/2014,2014,1,3.5,0,26,23,127,1,23,37,281,1,3,3,26,255,382,3,1,4,10,72,5,9,1,1,1884,319,0,0,0,0,1,9,0,19,30,127,1,16,23,201,2,0,1,9,192,319,0,0,0,11,78,7,12,0,0,1716,382,3,3,1,4,3,26
Dolphins,Patriots,33,20,9/7/2014,2014,1,4,0,25,38,191,1,18,32,178,2,1,1,9,169,360,3,2,3,4,26,7,13,0,0,1827,315,0,3,2,2,4,23,0,20,20,89,1,29,56,249,1,0,4,23,226,315,3,2,2,9,100,5,17,2,4,1773,360,1,3,2,3,1,9
Texans,Redskins,17,6,9/7/2014,2014,1,-3,0,16,34,115,0,14,22,206,1,0,0,0,206,321,2,1,1,6,45,7,14,0,0,1746,372,0,3,2,2,3,26,0,20,23,131,1,29,37,267,0,0,3,26,241,372,3,2,2,7,71,3,12,0,1,1854,321,0,2,1,1,0,0
Steelers,Browns,30,27,9/7/2014,2014,1,-5.5,0,24,29,127,2,24,35,390,1,1,3,14,376,503,1,0,1,11,96,4,12,1,1,1947,389,0,0,0,0,3,24,0,23,31,191,2,18,30,222,1,0,3,24,198,389,0,0,0,8,55,2,11,0,0,1653,503,1,1,0,1,3,14
Broncos,Colts,31,24,9/7/2014,2014,1,-8,0,24,32,102,1,22,36,269,3,0,1,10,259,361,2,0,0,7,70,7,14,0,0,1944,408,2,1,0,2,3,16,0,24,14,54,1,35,53,370,2,2,3,16,354,408,1,0,2,9,45,4,13,2,4,1656,361,0,2,0,0,1,10
Chiefs,Titans,10,26,9/7/2014,2014,1,-3,0,15,17,67,0,19,35,202,1,3,4,24,178,245,0,0,3,3,25,1,12,1,2,1336,405,0,1,0,0,4,23,0,24,38,162,0,22,33,266,2,0,4,23,243,405,1,0,0,12,110,7,16,0,0,2264,245,3,0,0,3,4,24
Falcons,Saints,37,34,9/7/2014,2014,1,3,0,28,25,123,1,31,43,448,3,0,1,3,445,568,1,1,1,10,96,6,11,0,0,1878,472,1,1,1,2,0,0,0,30,28,139,3,29,42,333,1,1,0,0,333,472,1,1,2,3,27,8,13,0,0,1825,568,0,1,1,1,1,3
Cardinals,Chargers,18,17,9/8/2014,2014,1,-3,0,22,26,109,0,24,37,304,2,0,2,10,294,403,2,2,2,5,23,6,13,0,0,1909,290,1,1,0,1,0,0,0,15,24,52,1,21,36,238,1,1,0,0,238,290,1,0,1,6,47,6,15,0,1,1691,403,0,2,2,2,2,10
Lions,Giants,35,14,9/8/2014,2014,1,-6,0,20,30,76,2,22,32,346,2,0,1,5,341,417,1,0,0,8,85,10,15,0,0,2164,197,2,0,0,2,2,19,0,16,22,53,1,18,33,163,1,2,2,19,144,197,0,0,2,4,25,3,13,2,3,1436,417,0,1,0,0,1,5
Ravens,Steelers,26,6,9/11/2014,2014,2,-2.5,1,25,36,157,0,21,29,166,2,0,0,0,166,323,0,0,0,4,35,5,12,1,1,2108,301,1,2,2,3,2,15,1,17,18,99,0,22,37,217,0,1,2,15,202,301,2,2,3,9,75,6,12,0,0,1492,323,0,0,0,0,0,0
