id,home_team,away_team,home_score,away_score,date,year,week,home_spread,home_won_toss,roof,surface,duration,attendance,temperature,humidity,wind_speed,wind_chill,home_games_played,home_first_quarter_points,home_second_quarter_points,home_third_quarter_points,home_fourth_quarter_points,home_overtime_points,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_quarter_points,away_second_quarter_points,away_third_quarter_points,away_fourth_quarter_points,away_overtime_points,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced,home_average_win_probability,away_average_win_probability
886dfa54-30ef-44e3-80c2-f14a77f8ef9b,Colts,Saints,41,10,9/6/2007,2007,1,-6.0,True,dome,fieldturf,176.0,57361.0,,,,,0,7.0,3.0,14.0,17.0,0.0,20,29,164,1,18,30,288,3,0,0,0,288,452,1,1,1,6,30,4,11,0,0,1695,293,2,2,1,3,1,5,0,0.0,10.0,0.0,0.0,0.0,18,26,106,0,28,41,192,0,2,1,5,187,293,2,1,3,4,20,6,15,1,1,1905,452,0,1,1,1,0,0,0.6859265756005001,0.3140734243994999
9e3cdc2c-57e1-4092-9f75-1fdf94a97501,Chargers,Bears,14,3,9/9/2007,2007,1,-6.5,True,outdoors,grass,169.0,67837.0,73.0,70.0,8.0,0.0,0,0.0,0.0,7.0,7.0,0.0,19,36,77,1,23,32,207,1,1,3,21,186,263,2,1,2,3,20,8,17,1,1,2223,202,1,4,3,4,3,23,0,0.0,3.0,0.0,0.0,0.0,11,26,80,0,12,23,145,0,1,3,23,122,202,4,3,4,4,38,3,11,0,1,1377,263,1,2,1,2,3,21,0.5554205039941944,0.4445794960058056
5c397262-8350-444c-9ea8-bf1ec8c4ebb8,Seahawks,Buccaneers,20,6,9/9/2007,2007,1,-6.0,False,outdoors,fieldturf,177.0,68044.0,67.0,51.0,12.0,0.0,0,0.0,10.0,0.0,10.0,0.0,17,34,139,1,17,24,222,1,0,2,18,204,343,2,1,1,3,35,4,12,0,0,1825,284,0,3,2,2,5,16,0,6.0,0.0,0.0,0.0,0.0,13,23,90,0,20,31,210,0,0,5,16,194,284,3,2,2,5,37,5,14,0,0,1775,343,0,2,1,1,2,18,0.5915098472998612,0.4084901527001388
bd61b760-bff8-46f8-ac8d-004fcf369146,Packers,Eagles,16,13,9/9/2007,2007,1,3.0,False,outdoors,grass,195.0,70598.0,62.0,80.0,9.0,0.0,0,10.0,0.0,3.0,3.0,0.0,10,17,46,0,23,42,206,0,1,4,37,169,215,1,1,2,6,35,6,18,0,0,1692,283,1,2,2,3,1,4,0,0.0,10.0,3.0,0.0,0.0,13,29,103,0,15,33,184,1,1,1,4,180,283,2,2,3,8,76,8,18,0,0,1908,215,1,1,1,2,4,37,0.5532119105503612,0.44678808944963877
6c856312-4f8d-49be-9a4f-9d515f465e9d,Texans,Chiefs,20,3,9/9/2007,2007,1,-3.0,True,retractable roof (closed),grass,161.0,70080.0,,,,,0,0.0,10.0,7.0,3.0,0.0,13,31,109,0,16,22,225,1,1,2,19,206,315,1,1,2,6,45,9,14,0,0,1970,219,2,3,2,4,3,21,0,0.0,0.0,3.0,0.0,0.0,14,17,72,0,22,33,168,0,2,3,21,147,219,3,2,4,5,40,3,11,1,1,1630,315,1,1,1,2,2,19,0.7745737812070278,0.2254262187929722
052daeca-9d13-460c-9e11-09b4e6a71259,Vikings,Falcons,24,3,9/9/2007,2007,1,-3.0,True,dome,fieldturf,165.0,62815.0,,,,,0,7.0,0.0,3.0,14.0,0.0,15,27,139,0,13,23,163,1,1,0,0,163,302,1,0,1,4,35,3,9,0,0,1619,265,2,1,0,2,6,30,0,0.0,0.0,0.0,3.0,0.0,17,28,96,0,23,32,199,0,2,6,30,169,265,1,0,2,6,40,8,16,0,0,1981,302,1,1,0,1,0,0,0.7590436629705833,0.24095633702941666
8865fb08-2f0f-409f-9b63-ed8dc90ed798,Redskins,Dolphins,16,13,9/9/2007,2007,1,-3.0,False,outdoors,grass,192.0,90163.0,82.0,66.0,7.0,0.0,0,0.0,3.0,7.0,3.0,3.0,19,41,191,1,12,21,222,0,2,2,13,209,400,2,0,2,7,65,7,14,0,0,2103,273,0,1,1,1,2,12,0,0.0,7.0,3.0,3.0,0.0,17,20,66,0,24,38,219,1,0,2,12,207,273,1,1,1,8,61,4,13,0,0,1833,400,2,2,0,2,2,13,0.5298189157835874,0.4701810842164126
e93ffbaa-e021-4fc9-b4d1-958452b387a4,Browns,Steelers,7,34,9/9/2007,2007,1,4.5,True,outdoors,grass,189.0,73089.0,71.0,80.0,5.0,0.0,0,0.0,0.0,7.0,0.0,0.0,13,16,46,0,17,38,218,1,2,6,43,175,221,4,3,5,6,51,6,14,0,0,1424,365,0,2,1,1,1,2,0,17.0,0.0,14.0,3.0,0.0,17,42,206,0,12,23,161,4,0,1,2,159,365,2,1,1,6,45,7,17,1,2,2176,221,2,4,3,5,6,43,0.08012291252744444,0.9198770874725556
12470b7d-8685-416c-ad30-78e7d6448436,Rams,Panthers,13,27,9/9/2007,2007,1,-1.5,False,dome,fieldturf,190.0,65307.0,,,,,0,7.0,3.0,3.0,0.0,0.0,16,21,76,0,22,42,167,1,0,1,5,162,238,2,2,2,8,82,7,16,0,1,1553,385,0,3,2,2,0,0,0,7.0,0.0,7.0,13.0,0.0,21,38,186,0,18,27,199,3,0,0,0,199,385,3,2,2,7,75,4,12,0,0,2047,238,0,2,2,2,1,5,0.36376720092411113,0.6362327990758889
71061bc8-db03-4f55-b6bc-f5f6b23d00c3,Raiders,Lions,21,36,9/9/2007,2007,1,-2.5,False,outdoors,grass,184.0,61547.0,66.0,68.0,8.0,0.0,0,0.0,0.0,14.0,7.0,0.0,24,23,92,1,30,40,313,2,2,3,30,283,375,5,1,3,8,50,7,13,0,0,1986,392,2,0,0,2,2,5,0,0.0,10.0,7.0,19.0,0.0,21,21,108,1,27,36,289,3,2,2,5,284,392,0,0,2,6,35,6,13,0,0,1614,375,2,5,1,3,3,30,0.2801580355080834,0.7198419644919166
