Best parameters set found on development set:
-0.22258 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 24, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22258 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22258 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 61, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22258 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22258 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 18, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22259 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22259 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22259 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 30, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22259 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22259 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22259 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 6, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22259 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22259 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22259 (+/-0.012) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22259 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22259 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 23, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22260 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22260 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22260 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22260 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22260 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22260 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22261 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22261 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22261 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22261 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 61, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22261 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22261 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22262 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 59, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22262 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22262 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22262 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22262 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22262 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22263 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22263 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22263 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 17, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22263 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22263 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22263 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 28, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22263 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22263 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22264 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22264 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 30, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22264 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 1, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22264 (+/-0.012) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22264 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22264 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22264 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22264 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22264 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22264 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 23, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22265 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 10, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22265 (+/-0.009) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22265 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 61, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22265 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22265 (+/-0.012) for {'classification__algorithm': 'auto', 'classification__leaf_size': 19, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22265 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22265 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22266 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22266 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22266 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'distance'}
-0.22266 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22266 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22266 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22267 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22267 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 23, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22267 (+/-0.012) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22267 (+/-0.012) for {'classification__algorithm': 'auto', 'classification__leaf_size': 12, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22267 (+/-0.009) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22267 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22267 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
